	Molecular_weight	LogP	Number_of_HBA_1	Number_of_HBA_2	Number_of_HBD_1	Number_of_HBD_2	Number_of_acidic_groups	Number_of_aliphatic_OH_groups	Number_of_basic_groups	Fraction_of_rotatable_bonds	Number_of_heavy_bonds	Number_of_heterocycles	Number_of_hydrophobic_groups	MolarRefractivity	Number_of_atoms	Number_of_halogen_atoms	Number_of_B_atoms	Number_of_Br_atoms	Number_of_Cl_atoms	Number_of_I_atoms	Number_of_F_atoms	Number_of_N_atoms	Number_of_O_atoms	Number_of_P_atoms	Number_of_S_atoms	Number_of_bonds	Number_of_NO2_groups	Number_of_SO_groups	Number_of_OSO_groups	Number_of_SO2_groups	PolarSurfaceArea	Geometrical_diameter	Geometrical_radius	Geometrical_shape_coefficient	Kier_shape_1	Kier_shape_2	Zagreb_group_index_1	Zagreb_group_index_2
SC	-0.767282422621157	0.0306104313453839	-0.476095304523258	-0.503892208871701	-0.708281017799528	-1.02076058186118	-2.09176957162461	-0.533081582022561	-0.159649052433652	-0.262623865437277	-0.886027453061965	-0.762087162951023	NaN	-0.591648956313543	-0.859863001612307	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.902177900142844	-0.148708132936351	1.88550920134254	-0.870045268559342	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.399625649306879	0.271990575382897	0.057770290679897	0.252774043733413	-0.855769886296729	-0.766789715191999	-0.89362222095994	-0.885491323310006
PST	-0.591131354716189	-0.22030285468371	-0.476095304523258	-0.870108950838565	-0.708281017799528	-0.22683568485804	-2.09176957162461	-0.533081582022561	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.403854313121913	-0.650728385554208	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.461039441617115	-0.148708132936351	1.88550920134254	-0.674468895514171	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.523275311898489	-0.488325083336769	0.0240487264822933	-0.49019398037645	-0.645593264850886	-0.662370638629369	-0.646371009559758	-0.684945821393904
UPS	-0.755735384453154	-0.650233602792121	-0.816529043779135	-0.870108950838565	-0.708281017799528	-0.22683568485804	-2.09176957162461	-0.533081582022561	-0.159649052433652	-0.262623865437277	-0.886027453061965	-0.762087162951023	NaN	-0.696805019021693	-0.964430309641356	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.461039441617115	-0.148708132936351	1.88550920134254	-0.967833455081927	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.523275311898489	-0.177947620432344	0.237099242416301	-0.222046954461101	-0.855769886296729	-0.766789715191999	-0.95068019282152	-0.885491323310006
A1I9V	-0.403386301656008	-0.514416426195292	-0.646312174151197	-0.503892208871701	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.557350862323018	-0.579680006119396	-0.762087162951023	NaN	-0.438640140586594	-0.546161077525159	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.0199009830913866	-0.148708132936351	1.88550920134254	-0.576680708991586	-0.0500626174321759	NaN	NaN	-0.0708883442592492	0.00586349215056689	-1.65253990923787	0.140994025497248	-1.65413380604544	-0.43511682932293	-0.556507791608125	-0.570293713744317	-0.551248820116503
U37	-0.567990331392973	-1.2154791985964	-0.646312174151197	-0.503892208871701	0.0945716131720962	0.567089212145101	-0.968463973941946	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.640428559023324	-0.859863001612307	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.0199009830913866	-0.148708132936351	1.88550920134254	-0.870045268559342	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.0372606050508049	-1.12690818769258	-0.0972995186465481	-1.10073322740504	-0.645593264850886	-0.662370638629369	-0.874602897006079	-0.751794322032605
SSU	-0.567990331392973	-1.32253804561332	-0.646312174151197	-0.503892208871701	0.0945716131720962	0.567089212145101	-2.09176957162461	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.634747466944224	-0.859863001612307	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.0199009830913866	-0.148708132936351	1.88550920134254	-0.870045268559342	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.109815365745055	-0.201698166068978	0.0821363648633519	-0.218001749315365	-0.645593264850886	-0.662370638629369	-0.874602897006079	-0.751794322032605
1SC	-0.579537369560976	-0.534635164458898	-0.305878434895319	-0.137675466904836	0.0945716131720962	-0.22683568485804	-0.968463973941946	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.535272496315174	-0.755295693583257	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.461039441617115	-0.148708132936351	1.88550920134254	-0.772257082036756	-0.0500626174321759	NaN	NaN	-0.0708883442592492	0.0863890575408057	0.0503278212283391	-0.122666365789586	0.0677498224378002	-0.645593264850886	-0.662370638629369	-0.817544925144499	-0.751794322032605
4SU	-0.567990331392973	-0.944347174303703	-0.986745913407075	-0.503892208871701	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.731590846486376	-0.859863001612307	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.0199009830913866	-0.148708132936351	1.88550920134254	-0.870045268559342	-0.0500626174321759	NaN	NaN	-0.0708883442592492	0.00586349215056747	-0.0612720808751052	-0.0378455044598307	-0.058081210660046	-0.645593264850886	-0.662370638629369	-0.874602897006079	-0.751794322032605
PSU	-0.756545110868557	-1.70349172587822	-0.986745913407075	-0.870108950838565	0.897424244143721	1.36101410914824	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.921661236687113	-0.859863001612307	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.870045268559342	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.0791584246066395	-0.4543321157139	0.396520011230621	-0.519910958395337	-0.645593264850886	-0.662370638629369	-0.874602897006079	-0.751794322032605
0U	-0.756545110868557	-1.8041458794079	-0.986745913407075	-0.503892208871701	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.920436471024029	-0.859863001612307	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.870045268559342	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.30111467844877	0.0114336338107707	0.178909247584999	-0.0258489477056044	-0.645593264850886	-0.662370638629369	-0.874602897006079	-0.751794322032605
U5P	-0.756545110868557	-1.8041458794079	-0.986745913407075	-0.503892208871701	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.920436471024031	-0.859863001612307	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.870045268559342	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.301114678448769	-0.640649895530115	0.315617825979364	-0.688575954329483	-0.645593264850886	-0.662370638629369	-0.874602897006079	-0.751794322032605
DDN	-0.920632807680036	-0.50336519037419	-0.476095304523258	-0.503892208871701	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.262623865437277	-0.886027453061965	-0.762087162951023	NaN	-1.12991277662971	-0.755295693583257	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.772257082036756	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.761377554740185	-0.257482953867848	-0.0249750074520302	-0.254035220255676	-0.855769886296729	-0.766789715191999	-0.760486953282919	-0.701657946553579
H2U	-0.732887754619855	-0.83383481609269	-0.305878434895319	-0.137675466904836	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-1.10202453146355	-0.650728385554208	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.674468895514171	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.412501564585013	-0.454154190530674	0.155016173126684	-0.478879934605548	-0.645593264850886	-0.662370638629369	-0.608332361652038	-0.534536694956828
CH	-0.756263470912209	-1.35355685524755	-0.646312174151197	-0.870108950838565	0.897424244143721	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.73842636295737	-0.650728385554208	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.674468895514171	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.139654788453113	0.119726416939616	-0.364815900603806	0.18192742252596	-0.645593264850886	-0.662370638629369	-0.722448305375198	-0.651521571074554
5HU	-0.591941081131592	-1.37421513129949	-0.646312174151197	-0.503892208871701	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	0.216307504502052	-0.579680006119396	-0.762087162951023	NaN	-0.62748576512425	-0.546161077525159	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.576680708991586	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.301114678448769	-0.0772847391808624	0.104630670168346	-0.0996108942949315	-0.43511682932293	-0.36580543687635	-0.570293713744317	-0.551248820116503
5MU	-0.591941081131592	-1.37421513129949	-0.646312174151197	-0.503892208871701	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.557350862323018	-0.579680006119396	-0.762087162951023	NaN	-0.62748576512425	-0.546161077525159	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.576680708991586	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.301114678448769	-0.26557363875756	0.088595043463114	-0.281997099749344	-0.43511682932293	-0.556507791608125	-0.570293713744317	-0.551248820116503
T48	-0.615082104454807	-0.887458426270079	-0.476095304523258	-0.870108950838565	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.557350862323018	-0.579680006119396	-2.18965889073252	NaN	-0.386008318848668	-0.337026461467061	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.381104335946416	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.489757056253822	-0.651988259507338	0.0888979541516442	-0.662271005051256	-0.43511682932293	-0.556507791608125	-0.342061826297996	-0.283854817561701
0C	-0.76809214903656	-1.1233018452704	-0.646312174151197	-0.137675466904836	0.0945716131720962	-0.22683568485804	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.815280408315879	-0.755295693583257	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.772257082036756	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.17746501585716	-1.0961674207983	0.676364361740298	-1.1890406908043	-0.645593264850886	-0.662370638629369	-0.817544925144499	-0.751794322032605
C5P	-0.76809214903656	-1.1233018452704	-0.646312174151197	-0.137675466904836	0.0945716131720962	-0.22683568485804	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.815280408315881	-0.755295693583257	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.772257082036756	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.177465015857159	-0.753135741210036	0.237774452664812	-0.78603334151831	-0.645593264850886	-0.662370638629369	-0.817544925144499	-0.751794322032605
IC	-0.76809214903656	-1.1233018452704	-0.646312174151197	-0.137675466904836	0.0945716131720962	-0.22683568485804	0.154841623740718	0.788033642989873	-0.159649052433652	-0.41668570471846	-0.732853729590681	-0.762087162951023	NaN	-0.81528040831588	-0.755295693583257	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.772257082036756	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.177465015857158	-0.856083400906781	0.0670812938064349	-0.859583247547377	-0.645593264850886	-0.662370638629369	-0.817544925144499	-0.751794322032605
B8T	-0.603488119299594	-0.794025250691678	-0.305878434895319	-0.137675466904836	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	0.216307504502052	-0.579680006119396	-0.762087162951023	NaN	-0.521104936753015	-0.44159376949611	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.478892522469001	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.463392086874784	-0.928413771286916	0.105694756868677	-0.93693666008739	-0.43511682932293	-0.36580543687635	-0.513235741882737	-0.551248820116503
64T	-0.56828372488289	-0.653687113986215	0.0345553043605593	-0.137675466904836	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.557350862323018	-0.579680006119396	-0.762087162951023	NaN	-0.814080468983805	-0.337026461467061	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.381104335946416	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.412501564585013	-1.28786614063159	0.197649265278764	-1.30424989798334	-0.43511682932293	-0.73154007004529	-0.304023178390275	-0.267142692402025
JMH	-0.603488119299594	-1.2028581849598	-0.476095304523258	-0.137675466904836	0.0945716131720962	0.567089212145101	0.154841623740718	0.788033642989873	-0.159649052433652	-0.557350862323018	-0.579680006119396	-0.762087162951023	NaN	-0.57584699662666	-0.44159376949611	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	-0.0199009830913866	-0.148708132936351	-0.429315941228763	-0.478892522469001	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.384501558345261	-1.71476260129458	-0.0716720676714935	-1.68548503836119	-0.43511682932293	-0.556507791608125	-0.513235741882737	-0.501112444637478
CTG	-0.380538671822709	-1.32599155680742	0.204772173988498	0.228541275062028	0.897424244143721	1.36101410914824	0.154841623740718	2.10914886800231	-0.159649052433652	-0.68629392346053	-0.426506282648112	-0.762087162951023	NaN	-0.752022916906335	-0.232459153438012	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.862375933960071	-0.148708132936351	-0.429315941228763	-0.283316149423831	-0.0500626174321759	NaN	NaN	-0.0708883442592492	0.000958381568420762	0.077324513292708	-0.0527984076808366	0.0814954828233156	-0.224377218493447	-0.620948979836142	-0.227945882574835	-0.133445691124624
U34	-0.591941081131592	-1.98969361719969	-0.646312174151197	-0.503892208871701	0.897424244143721	1.36101410914824	0.154841623740718	2.10914886800231	-0.159649052433652	-0.557350862323018	-0.579680006119396	-0.762087162951023	NaN	-0.616901472670978	-0.546161077525159	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-1.13537982843799	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.576680708991586	-0.0500626174321759	NaN	NaN	-0.0708883442592492	-0.0762971101003871	0.382584459450415	0.132779611634717	0.347330116424048	-0.43511682932293	-0.556507791608125	-0.570293713744317	-0.350703318200401
5HM	-0.415743066239414	-1.36567553998319	-0.13566156526738	0.228541275062028	0.897424244143721	0.567089212145101	0.154841623740718	2.10914886800231	-0.159649052433652	0.0551286780801624	-0.426506282648112	-0.762087162951023	NaN	-0.460272150338628	-0.337026461467061	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	-0.524021459279071	0.421237475434342	-0.148708132936351	-0.429315941228763	-0.381104335946416	-0.0500626174321759	NaN	NaN	-0.0708883442592492	0.235994930296275	-1.22510202072036	0.198014415810264	-1.24271458641096	-0.224377218493447	-0.263451987393785	-0.437158446067296	-0.417551818839102
