cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
G38,3.4623999536037445E2,2.651299999999999,22,10,5,3,2,0,0,1.6E-1,25,3,0,9.41108E1,38,0,0,0,0,0,0,6,6,1,0,40,0,0,0,0,2.0869E2,1.161472218844627E1,9.715467157303087E-1,1.0954877722699644E1,1.78112E1,6.718836565096953,2.03E2,2.3E2
G3A,7.724109896421432E2,2.4814,48,26,10,8,3,4,0,2.1818181818181817E-1,55,6,0,1.8798510000000002E2,77,0,0,0,0,0,0,10,17,3,0,82,0,0,0,0,4.4533000000000004E2,1.2538152206495468E1,9.728553283562957E-1,1.1887992531920975E1,3.968595041322314E1,1.5264467279610601E1,4.19E2,4.87E2
G46,3.792909963130951E2,1.1552999999999995,25,12,6,5,1,2,0,1.5384615384615385E-1,26,3,0,9.904410000000004E1,38,0,0,0,0,0,0,5,7,1,1,40,0,0,0,0,2.3442E2,1.3017250842432707E1,9.674710234335876E-1,1.2454925808768971E1,1.8781065088757398E1,6.9575,2.02E2,2.34E2
G47,4.073449957370758E2,2.386499999999999,27,12,6,6,2,1,0,2.5E-1,28,3,0,1.1307470000000002E2,44,0,0,0,0,0,0,5,7,1,1,46,0,0,0,0,2.2609E2,1.1454550317676693E1,9.495361407344697E-1,1.1063311575288283E1,2.0727040816326532E1,8.566329565734682,2.34E2,2.62E2
G48,4.213029932975769E2,3.2721,30,13,5,4,2,1,0,2.6666666666666666E-1,30,3,0,1.137101E2,48,0,0,0,0,0,0,5,9,1,0,50,0,0,0,0,2.1973999999999998E2,1.2398708457130223E1,9.576418206872368E-1,1.1947125103864494E1,2.268E1,9.427685950413224,2.54E2,2.74E2
G49,3.61250994682312E2,1.8128999999999995,24,11,5,5,2,1,0,1.9230769230769232E-1,26,3,0,9.78867E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,1.8729000000000002E2,1.0913613379082896E1,9.668267899564232E-1,1.0288075064174416E1,1.8781065088757398E1,7.3188691650230115,2.14E2,2.38E2
G5J,5.372079937458038E2,1.6254999999999997,32,18,7,6,3,2,0,2.571428571428571E-1,35,3,0,1.2339369999999998E2,51,0,0,0,0,0,0,5,14,3,0,53,0,0,0,0,3.2602E2,1.4965729008614613E1,9.701220039042092E-1,1.4426646286122528E1,2.758530612244898E1,1.016595041322314E1,2.68E2,2.98E2
G7M,3.7825799429416656E2,3.7549999999999994E-1,25,11,6,5,2,2,0,1.4814814814814814E-1,27,3,0,1.0124390000000005E2,42,0,0,0,0,0,0,5,8,1,0,44,0,0,0,0,2.1249999999999997E2,1.2858809012279274E1,9.676386635539429E-1,1.2288854090483987E1,1.9753086419753085E1,7.197278911564626,2.23E2,2.52E2
GDO,3.4722399497032166E2,1.2884999999999998,22,11,5,4,2,1,0,1.6E-1,25,3,0,9.077710000000002E1,37,0,0,0,0,0,0,5,7,1,0,39,0,0,0,0,2.0128E2,1.3113073698830044E1,9.754635331211426E-1,1.2442915345971763E1,1.78112E1,6.718836565096953,1.98E2,2.26E2
GDP,4.432019942998886E2,6.709999999999938E-2,26,15,7,6,3,2,0,2.0E-1,30,3,0,1.0458220000000003E2,43,0,0,0,0,0,0,5,11,2,0,45,0,0,0,0,2.8068E2,1.3960514690823521E1,9.77022567636673E-1,1.328883544071322E1,2.268E1,8.262562245359891,2.27E2,2.62E2
GF0,2.852349944114685E2,1.6134,19,8,4,3,0,2,0,9.090909090909091E-2,22,3,0,7.746580000000002E1,32,1,0,0,0,0,1,5,4,0,0,34,0,0,0,0,1.3928E2,9.443111037403535,9.677099157024964E-1,8.758204276070098,1.4917355371900827E1,5.652892561983471,1.74E2,2.02E2
GF2,3.652139941453934E2,1.4627,21,11,5,4,2,1,0,1.5384615384615385E-1,26,3,0,8.977110000000003E1,37,1,0,0,0,0,1,5,7,1,0,39,0,0,0,0,2.0128E2,1.2812768850816171E1,9.77220501508828E-1,1.2111440898991846E1,1.8781065088757398E1,6.9575,1.99E2,2.3E2
GMP,2.832439948320389E2,3.684999999999998E-1,21,9,5,4,0,3,0,9.090909090909091E-2,22,3,0,7.997160000000001E1,33,0,0,0,0,0,0,5,5,0,0,35,0,0,0,0,1.5951E2,1.0344570106699425E1,9.720865510447091E-1,9.641614263238221,1.4917355371900827E1,5.652892561983471,1.77E2,2.06E2
GMS,4.101849944591522E2,1.9573999999999994,24,10,5,3,1,1,0,1.6E-1,25,3,0,8.900650000000002E1,37,0,0,0,0,0,0,5,6,1,0,39,0,0,0,0,1.7539E2,1.346476038559293E1,9.999700243904717E-1,1.2465164012091591E1,1.78112E1,6.718836565096953,1.98E2,2.26E2
GMU,4.2533499336242676E2,3.667300000000001,31,10,7,4,2,1,1,3.103448275862069E-1,29,2,0,1.2229539999999999E2,52,0,0,0,0,0,0,5,9,1,0,53,0,0,0,0,2.4767E2,1.1474318065925818E1,9.742287777802572E-1,1.0777847593528914E1,2.4271105826397147E1,1.0346938775510203E1,2.68E2,2.88E2
GN7,3.4722399497032166E2,1.2885000000000004,22,11,5,4,2,1,0,1.6E-1,25,3,0,9.077710000000002E1,37,0,0,0,0,0,0,5,7,1,0,39,0,0,0,0,2.0128000000000003E2,1.3188948395331657E1,9.708672001030894E-1,1.2584709004415041E1,1.78112E1,6.718836565096953,1.98E2,2.26E2
GNG,2.672449952363968E2,1.4392,20,8,4,3,0,2,0,9.523809523809523E-2,21,3,0,7.847179999999997E1,32,0,0,0,0,0,0,5,4,0,0,34,0,0,0,0,1.3928E2,1.0116072229933899E1,9.769058177290048E-1,9.355217510579012,1.3959183673469388E1,5.4131113423517165,1.73E2,1.98E2
GP3,7.884099892377853E2,1.8659000000000003,48,26,11,9,3,4,0,2.1428571428571427E-1,56,6,0,1.907165E2,78,0,0,0,0,0,0,10,18,3,0,83,0,0,0,0,4.6530000000000007E2,1.23492775490191E1,9.577553748638203E-1,1.1893978852141652E1,4.065688775510204E1,1.550232438016529E1,4.25E2,4.96E2
GPL,4.9038999235630035E2,4.854099999999999,37,14,7,6,2,2,0,3.142857142857143E-1,35,3,0,1.3755950000000004E2,58,0,0,0,0,0,0,7,9,1,0,60,0,0,0,0,2.7541999999999996E2,1.0408273346577397E1,9.757967988350701E-1,9.666435224016974,2.758530612244898E1,1.182314494425221E1,3.1E2,3.47E2
GRB,4.4211899387836456E2,8.573000000000001E-1,22,12,6,5,2,2,0,1.4814814814814814E-1,27,3,0,9.891990000000004E1,38,1,0,1,0,0,0,5,8,1,0,40,0,0,0,0,2.2151E2,1.2730568466337024E1,9.718739457781871E-1,1.2098991408956394E1,1.9753086419753085E1,7.197278911564626,2.03E2,2.37E2
GS,3.63291996717453E2,2.2259999999999995,24,11,5,4,1,1,0,1.6E-1,25,3,0,9.754430000000002E1,37,0,0,0,0,0,0,5,6,1,1,39,0,0,0,0,2.1419E2,9.932234748957432,9.681008091018501E-1,9.259504646186594,1.78112E1,6.718836565096953,1.98E2,2.26E2
GSR,4.673749921321869E2,3.3594999999999997,31,12,6,6,2,2,0,2.2857142857142856E-1,35,3,0,1.3502249999999998E2,54,0,0,0,0,0,0,5,8,1,0,57,0,0,0,0,2.0752E2,1.2636997406240242E1,9.738512203222734E-1,1.1976312133241791E1,2.5103673469387754E1,1.0726643598615917E1,2.88E2,3.28E2
GSS,4.673749921321869E2,3.3594999999999997,31,12,6,6,2,2,0,2.2857142857142856E-1,35,3,0,1.3502249999999998E2,54,0,0,0,0,0,0,5,8,1,0,57,0,0,0,0,2.0752E2,1.2640363064431005E1,9.689641421847072E-1,1.2045233062939761E1,2.5103673469387754E1,1.0726643598615917E1,2.88E2,3.28E2
GTA,7.874459893703461E2,2.639099999999999,50,25,10,8,3,4,0,2.1428571428571427E-1,56,6,0,1.969521E2,81,0,0,0,0,0,0,10,17,3,0,86,0,0,0,0,4.3632E2,1.2401471540202172E1,9.697663364892062E-1,1.1788102735240907E1,4.065688775510204E1,1.550232438016529E1,4.4E2,5.05E2
GTG,8.034449889659882E2,2.0236,50,25,11,9,3,4,0,2.1052631578947367E-1,57,6,0,1.9968349999999998E2,82,0,0,0,0,0,0,10,18,3,0,87,0,0,0,0,4.5629E2,1.7738595160946485E1,9.662709050227457E-1,1.7357786691848002E1,4.162880886426593E1,1.574074074074074E1,4.46E2,5.14E2
GTP,5.231809940338135E2,-8.360000000000067E-2,29,18,8,7,4,2,0,2.3529411764705882E-1,34,3,0,1.1688750000000005E2,48,0,0,0,0,0,0,5,14,3,0,50,0,0,0,0,3.3985E2,1.0122222609498367E1,9.772070081855563E-1,9.358319705763218,2.6602076124567475E1,9.567901234567902,2.52E2,2.9E2
GX1,4.063609961271286E2,3.749299999999999,30,12,6,5,1,1,0,2.5E-1,28,3,0,1.151507E2,45,0,0,0,0,0,0,6,6,1,1,47,0,0,0,0,2.2621999999999997E2,1.0466623226441017E1,9.660029477693389E-1,9.83498062879641,2.0727040816326532E1,8.566329565734682,2.39E2,2.66E2
H2U,3.261979945898056E2,7.113000000000002E-1,24,11,5,5,2,2,0,1.8181818181818182E-1,22,2,0,7.57895E1,36,0,0,0,0,0,0,2,9,1,0,37,0,0,0,0,1.8133E2,1.1239565193980496E1,9.732079745528244E-1,1.0548985918600719E1,1.7355371900826448E1,6.629935720844812,1.91E2,2.17E2
HEU,3.522359939813614E2,3.971999999999998E-1,24,11,4,4,2,2,0,2.5E-1,24,2,0,9.420870000000001E1,40,0,0,0,0,0,0,2,9,1,0,41,0,0,0,0,1.7592000000000002E2,1.0449102173890212E1,9.703358853751808E-1,9.768541420943183,1.932638888888889E1,7.92,2.09E2,2.32E2
HN0,5.034489915370941E2,5.8362,40,13,6,6,2,2,0,2.702702702702703E-1,37,4,0,1.5161150000000004E2,64,0,0,0,0,0,0,5,9,1,0,67,0,0,0,0,2.1675E2,1.2931516185466966E1,9.687065445810961E-1,1.234926067941352E1,2.704601899196494E1,1.1588477366255145E1,3.5E2,3.9E2
I4U,3.6626299369335175E2,1.8679999999999986,27,11,4,4,2,2,0,2.4E-1,25,2,0,9.989470000000001E1,43,0,0,0,0,0,0,2,9,1,0,44,0,0,0,0,1.7604E2,1.0578274413003687E1,9.662246834066526E-1,9.94804820728393,2.03136E1,8.131482834185537,2.23E2,2.41E2
IC,3.231979949474335E2,2.5029999999999986E-1,22,11,5,4,2,2,0,1.8181818181818182E-1,22,2,0,8.271950000000001E1,35,0,0,0,0,0,0,3,8,1,0,36,0,0,0,0,1.9283000000000004E2,1.0588060398060266E1,9.710696209969853E-1,9.90350286850662,1.7355371900826448E1,6.629935720844812,1.8E2,2.04E2
IG,3.6322299456596375E2,2.1779999999999994E-1,23,12,6,5,2,2,0,1.5384615384615385E-1,26,3,0,9.227690000000001E1,38,0,0,0,0,0,0,5,8,1,0,40,0,0,0,0,2.2151000000000002E2,1.3123533641794426E1,9.694482988035403E-1,1.25371155511759E1,1.8781065088757398E1,6.9575,2.02E2,2.34E2
IQG,5.434369914531708E2,4.974400000000001,33,14,6,5,2,1,0,1.3953488372093023E-1,43,5,0,1.5853650000000005E2,60,0,0,0,0,0,0,9,7,1,0,65,0,0,0,0,2.4402E2,1.3843490536356937E1,9.726386954242402E-1,1.3232921845987999E1,2.8135208220659816E1,1.1008264462809917E1,3.3E2,3.79E2
IU,4.500779938697815E2,-3.5240000000000016E-1,19,10,5,5,2,2,0,1.7391304347826086E-1,23,2,0,9.18381E1,34,1,0,0,0,1,0,2,9,1,0,35,0,0,0,0,1.8678000000000003E2,1.1826444953548247E1,9.713369669580391E-1,1.1175429697260908E1,1.8340264650283554E1,6.857142857142857,1.78E2,2.07E2
JDT,3.362369943857193E2,1.6281999999999996,23,9,4,4,2,1,0,2.1739130434782608E-1,23,2,0,9.26793E1,39,0,0,0,0,0,0,2,8,1,0,40,0,0,0,0,1.6654999999999998E2,1.127572958821919E1,9.761270919868386E-1,1.0551497423627728E1,1.8340264650283554E1,7.26643598615917,2.05E2,2.24E2
JMH,3.372249946594238E2,1.2359999999999952E-1,23,11,5,5,2,2,0,1.7391304347826086E-1,23,2,0,8.850610000000003E1,38,0,0,0,0,0,0,3,8,1,0,39,0,0,0,0,1.827E2,9.196189385037576,9.676954906610536E-1,8.503185117412771,1.8340264650283554E1,6.857142857142857,1.96E2,2.19E2
K2F,4.2137199544906616E2,4.654599999999998,32,13,4,3,0,1,0,2.7586206896551724E-1,29,3,0,1.1788320000000002E2,47,0,0,0,0,0,0,5,7,1,1,49,0,0,0,0,2.0913E2,1.1166086282566631E1,9.779717310497397E-1,1.0417596161579361E1,2.1702734839476815E1,9.212018140589569,2.48E2,2.65E2
K39,4.3737099504470825E2,4.039099999999999,32,13,5,4,0,1,0,2.6666666666666666E-1,30,3,0,1.2061460000000002E2,48,0,0,0,0,0,0,5,8,1,1,50,0,0,0,0,2.291E2,1.1712877186983992E1,9.748594395594299E-1,1.1014939499665116E1,2.268E1,9.427685950413224,2.54E2,2.74E2
KAG,4.1731499338150024E2,2.795599999999999,29,12,5,5,2,1,0,2.6666666666666666E-1,30,3,0,1.167357E2,48,0,0,0,0,0,0,5,8,1,0,50,0,0,0,0,2.0436E2,1.2176615868988351E1,9.7503308200581E-1,1.1488413053574519E1,2.268E1,9.427685950413224,2.56E2,2.85E2
KAK,3.4722399497032166E2,1.2885,22,11,5,4,2,1,0,1.6E-1,25,3,0,9.07771E1,37,0,0,0,0,0,0,5,7,1,0,39,0,0,0,0,2.0128E2,9.610850140759558,9.790655856559332E-1,8.816349672142433,1.78112E1,6.718836565096953,1.98E2,2.26E2
KGV,4.934169921875E2,5.199000000000001,34,13,6,4,2,1,0,2.4324324324324326E-1,37,3,0,1.4420759999999996E2,58,0,0,0,0,0,0,7,7,1,0,61,0,0,0,0,2.3804999999999998E2,1.270068346510378E1,9.701251983554394E-1,1.2091798343795249E1,2.704601899196494E1,1.1588477366255145E1,3.06E2,3.47E2
L2B,3.081829949617386E2,2.3670000000000005E-1,19,9,4,4,2,1,0,1.9047619047619047E-1,21,2,0,7.867830000000001E1,33,0,0,0,0,0,0,2,8,1,0,34,0,0,0,0,1.6654999999999998E2,1.0833593764197627E1,9.709345946494449E-1,1.0157902729904363E1,1.63718820861678E1,6.40582726326743,1.73E2,1.96E2
L3X,4.032919943332672E2,2.5816999999999997,28,13,6,4,2,1,0,2.413793103448276E-1,29,3,0,1.0857160000000002E2,45,0,0,0,0,0,0,7,7,1,0,47,0,0,0,0,2.3804999999999995E2,1.302535762324374E1,9.733992042323923E-1,1.2381311148199817E1,2.1702734839476815E1,8.788534342888047,2.36E2,2.65E2
LDG,6.275029881000519E2,6.0906,38,15,5,5,2,1,0,1.836734693877551E-1,49,3,0,1.7923469999999998E2,70,0,0,0,0,0,0,5,11,1,0,75,0,0,0,0,2.3988999999999993E2,1.4734288796907721E1,9.71556062334158E-1,1.416565988123081E1,3.388421491045398E1,1.3851716581446311E1,3.82E2,4.28E2
M2G,3.9127699398994446E2,1.266599999999999,27,12,5,5,2,2,0,1.7857142857142858E-1,28,3,0,1.0649610000000004E2,44,0,0,0,0,0,0,5,8,1,0,46,0,0,0,0,1.9873000000000002E2,1.1659617644525165E1,9.678389811542523E-1,1.1047063480146063E1,2.0727040816326532E1,7.787993510005409,2.34E2,2.58E2
M5M,3.6425099432468414E2,1.7066000000000003,26,12,5,4,2,1,0,2.4E-1,25,2,0,9.69121E1,41,0,0,0,0,0,0,4,8,1,0,42,0,0,0,0,2.017E2,1.0761413139712829E1,9.737734521173681E-1,1.0051249257528294E1,2.03136E1,8.131482834185537,2.11E2,2.32E2
M7A,3.6326699471473694E2,2.3077999999999994,28,12,5,4,2,2,0,1.5384615384615385E-1,26,3,0,9.431390000000002E1,42,0,0,0,0,0,0,5,7,1,0,44,0,0,0,0,1.9020000000000002E2,1.1029912478826343E1,9.701084022993758E-1,1.03697731641979E1,1.8781065088757398E1,6.9575,2.24E2,2.49E2
M7G,4.5823699402809143E2,2.2479999999999944E-1,28,14,7,6,3,2,0,1.935483870967742E-1,31,3,0,1.1354920000000004E2,47,0,0,0,0,0,0,5,11,2,0,49,0,0,0,0,2.7166999999999996E2,1.2828227114862312E1,9.705970558874321E-1,1.2216841156738585E1,2.3658688865764827E1,8.501457725947521,2.48E2,2.8E2
M7M,4.872989934682846E2,2.590399999999999,35,15,6,6,3,2,0,2.1212121212121213E-1,33,3,0,1.2356980000000003E2,54,0,0,0,0,0,0,5,11,2,0,56,0,0,0,0,2.4655999999999997E2,1.1954359669847847E1,9.723098670203413E-1,1.1294804439743237E1,2.5619834710743802E1,9.330621301775148,2.87E2,3.1E2
MA6,3.7527799439430237E2,1.8820999999999994,27,12,4,4,2,2,0,1.8518518518518517E-1,27,3,0,1.0376470000000003E2,43,0,0,0,0,0,0,5,7,1,0,45,0,0,0,0,1.7876E2,1.4093839478533383E1,9.769524811878694E-1,1.3426330604531335E1,1.9753086419753085E1,7.552647233789411,2.28E2,2.49E2
MA7,3.462599951028824E2,2.0616999999999996,24,10,4,3,2,1,0,1.6E-1,25,3,0,9.701270000000001E1,40,0,0,0,0,0,0,5,6,1,0,42,0,0,0,0,1.7229999999999998E2,1.4021730758408076E1,9.711062866336848E-1,1.3438924916256127E1,1.78112E1,6.718836565096953,2.13E2,2.35E2
MCY,2.4124699532985687E2,2.1564,21,7,3,2,0,2,0,1.111111111111111E-1,18,2,0,7.599439999999998E1,32,0,0,0,0,0,0,3,4,0,0,33,0,0,0,0,1.1060000000000001E2,1.0638173766034841E1,9.761446046628691E-1,9.898153526862902,1.3432098765432098E1,5.325443786982248,1.67E2,1.8E2
MDQ,3.372249946594238E2,1.1139000000000001,22,10,4,4,3,1,0,2.1739130434782608E-1,23,2,0,8.875919999999999E1,38,0,0,0,0,0,0,3,8,1,0,39,0,0,0,0,1.8665E2,1.1806950177178233E1,9.705312006285184E-1,1.116545142446943E1,1.8340264650283554E1,7.26643598615917,1.98E2,2.18E2
MDU,3.522359939813614E2,3.751E-1,24,11,4,4,2,2,0,2.0833333333333334E-1,24,2,0,9.43677E1,40,0,0,0,0,0,0,2,9,1,0,41,0,0,0,0,1.7592E2,1.2498112513520963E1,9.681740377342118E-1,1.1908952343702497E1,1.932638888888889E1,7.486111111111111,2.09E2,2.28E2
MFT,3.362369943857193E2,1.4457999999999998,23,10,3,3,2,1,0,1.7391304347826086E-1,23,2,0,9.286789999999999E1,39,0,0,0,0,0,0,2,8,1,0,40,0,0,0,0,1.5569E2,1.1845531052703342E1,9.747064250920687E-1,1.1152921892952985E1,1.8340264650283554E1,6.857142857142857,2.05E2,2.2E2
MG1,3.61250994682312E2,1.8128999999999995,24,12,4,3,2,1,0,1.5384615384615385E-1,26,3,0,9.78867E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,1.9042000000000002E2,1.3297578545301338E1,9.745491502751029E-1,1.2644851613228127E1,1.8781065088757398E1,6.9575,2.14E2,2.38E2
MGT,5.392239937782288E2,1.390899999999999,34,18,8,7,4,2,0,2.2857142857142856E-1,35,3,0,1.2165590000000003E2,53,0,0,0,0,0,0,5,14,3,0,55,0,0,0,0,3.2851000000000005E2,1.0620651973471686E1,9.724045280196668E-1,9.922051129380266,2.758530612244898E1,9.806122448979592,2.8E2,3.14E2
MHG,4.6342799258232117E2,5.750700000000004,40,12,6,6,2,2,0,2.727272727272727E-1,33,3,0,1.3875990000000007E2,61,0,0,0,0,0,0,5,8,1,0,63,0,0,0,0,1.9617999999999998E2,1.2437196972026074E1,9.6027436051637E-1,1.1951712014197899E1,2.5619834710743802E1,1.0508121615993335E1,3.26E2,3.5E2
MIA,4.614369945526123E2,4.9597,34,13,5,5,2,2,0,2.5E-1,32,3,0,1.3558610000000002E2,54,0,0,0,0,0,0,5,7,1,1,56,0,0,0,0,2.1285000000000002E2,1.5649794502032396E1,9.755973059017924E-1,1.5041244074128027E1,2.4638671875E1,1.029244001810774E1,2.82E2,2.96E2
MMT,2.852999943494797E2,3.4153000000000002,25,7,2,2,0,1,0,1.9047619047619047E-1,21,2,0,9.083319999999996E1,39,0,0,0,0,0,0,3,5,0,0,40,0,0,0,0,9.679E1,1.2358860497100453E1,9.732974992111312E-1,1.169792690016922E1,1.63718820861678E1,6.84,2.05E2,2.1E2
MMX,3.5528399443626404E2,3.3723,30,10,5,4,2,2,0,2.0833333333333334E-1,24,2,0,9.656760000000001E1,45,0,0,0,0,0,0,3,8,1,0,46,0,0,0,0,1.8310999999999999E2,1.1482735392222226E1,9.664289909988318E-1,1.0881613133681444E1,1.932638888888889E1,7.486111111111111,2.38E2,2.61E2
MRG,4.2137199544906616E2,3.0932999999999993,29,12,6,6,2,1,0,2.7586206896551724E-1,29,3,0,1.1999570000000001E2,47,0,0,0,0,0,0,5,7,1,1,49,0,0,0,0,2.2609E2,1.2223138852596671E1,9.738261541414631E-1,1.1551664176007614E1,2.1702734839476815E1,9.212018140589569,2.5E2,2.78E2
MUM,3.2422599470615387E2,1.5369,28,10,5,5,0,2,0,1.8181818181818182E-1,22,2,0,8.202400000000002E1,38,0,0,0,0,0,0,2,8,1,0,39,0,0,0,0,1.6238E2,1.2621442318294841E1,9.740209540489347E-1,1.195808089736511E1,1.7355371900826448E1,7.05078125,1.99E2,2.23E2
N2G,4.874089915752411E2,5.122600000000003,30,11,5,5,2,1,0,1.8421052631578946E-1,38,3,0,1.462217E2,56,0,0,0,0,0,0,5,7,1,0,60,0,0,0,0,1.8729000000000002E2,1.4769471377975178E1,9.671470172512503E-1,1.4271175027713797E1,2.5641274238227147E1,1.0775510204081632E1,3.04E2,3.49E2
N4S,4.925139924287796E2,8.718100000000002,44,10,7,4,2,1,2,5.0E-1,34,2,0,1.6549599999999998E2,70,0,0,0,0,0,0,6,7,1,0,71,0,0,0,0,2.1947E2,2.112161087869922E1,9.683813050097327E-1,2.081125427497481E1,2.9231833910034602E1,1.5884297520661157E1,3.63E2,3.8E2
N5M,3.681949940919876E2,3.5499999999999865E-2,22,11,5,4,2,2,0,2.0E-1,25,2,0,8.83169E1,37,0,0,0,0,0,0,4,10,1,0,38,2,0,0,0,2.3597000000000003E2,1.1815425840360291E1,9.719691144353857E-1,1.1156174167348766E1,2.03136E1,7.7091412742382275,1.91E2,2.19E2
N7X,4.1137299513816833E2,4.7562999999999995,33,12,4,3,0,1,0,2.962962962962963E-1,27,2,0,1.1813720000000002E2,48,0,0,0,0,0,0,3,8,1,1,49,0,0,0,0,2.0042000000000004E2,1.1102429392893848E1,9.656459655524312E-1,1.0497411876559044E1,2.2290809327846365E1,9.467455621301776,2.48E2,2.56E2
NYM,3.2122599506378174E2,2.2842,21,8,4,3,2,0,0,1.8181818181818182E-1,22,2,0,8.909199999999998E1,37,0,0,0,0,0,0,3,7,1,0,38,0,0,0,0,1.7396E2,1.1402991492799073E1,9.720945566029674E-1,1.0730331597213539E1,1.7355371900826448E1,6.629935720844812,1.94E2,2.12E2
O2C,3.071989953517914E2,1.3210000000000002,21,10,4,3,2,1,0,1.9047619047619047E-1,21,2,0,8.12197E1,34,0,0,0,0,0,0,3,7,1,0,35,0,0,0,0,1.7260000000000002E2,1.1095610257141622E1,9.689047242334679E-1,1.0451704155864986E1,1.63718820861678E1,6.40582726326743,1.76E2,1.96E2
O2G,3.7527799439430237E2,2.3372999999999995,26,11,4,4,2,1,0,1.8518518518518517E-1,27,3,0,1.0499630000000002E2,43,0,0,0,0,0,0,5,7,1,0,45,0,0,0,0,1.7850000000000003E2,1.1742687634101115E1,9.74787613366603E-1,1.10464062869507E1,1.9753086419753085E1,7.552647233789411,2.3E2,2.5E2
OGX,4.223599957227707E2,3.1337999999999995,30,12,7,6,1,1,0,2.413793103448276E-1,29,3,0,1.178821E2,46,0,0,0,0,0,0,6,7,1,1,48,0,0,0,0,2.4618999999999994E2,1.2181259634985325E1,9.953803741228762E-1,1.1237793663271075E1,2.1702734839476815E1,8.788534342888047,2.45E2,2.75E2
OHU,3.241819945573807E2,-5.786000000000002E-1,20,10,5,5,2,1,0,1.8181818181818182E-1,22,2,0,8.103930000000001E1,34,0,0,0,0,0,0,2,9,1,0,35,0,0,0,0,1.8677999999999997E2,1.1119616299452872E1,9.697594209926768E-1,1.0466365841613044E1,1.7355371900826448E1,6.629935720844812,1.77E2,2.02E2
OKN,3.372939968109131E2,2.943199999999999,25,10,4,3,1,1,0,1.8181818181818182E-1,22,2,0,9.50669E1,37,0,0,0,0,0,0,3,6,1,1,38,0,0,0,0,1.8551000000000002E2,9.904503615305277,9.737103421263471E-1,9.171919909648125,1.7355371900826448E1,6.629935720844812,1.92E2,2.08E2
OKQ,3.532929964065552E2,2.8968999999999996,26,11,4,3,1,1,0,2.1739130434782608E-1,23,2,0,9.599290000000002E1,38,0,0,0,0,0,0,3,7,1,1,39,0,0,0,0,1.9473999999999998E2,1.1879163096152075E1,9.772268838508993E-1,1.1155992935172403E1,1.8340264650283554E1,7.26643598615917,1.96E2,2.12E2
OKT,3.542769960165024E2,1.8126,24,10,4,4,1,1,0,2.1739130434782608E-1,23,2,0,9.345150000000001E1,37,0,0,0,0,0,0,2,8,1,1,38,0,0,0,0,1.8868999999999997E2,1.0995970283731348E1,9.726340378344415E-1,1.030535212217511E1,1.8340264650283554E1,7.26643598615917,1.93E2,2.12E2
OMC,3.372249946594238E2,1.9594,24,11,4,3,2,1,0,2.1739130434782608E-1,23,2,0,8.922569999999999E1,38,0,0,0,0,0,0,3,8,1,0,39,0,0,0,0,1.8183E2,1.2103471243312272E1,9.646984555294481E-1,1.1546377755595781E1,1.8340264650283554E1,7.26643598615917,1.96E2,2.12E2
OMG,3.772499942779541E2,1.9269000000000003,25,12,5,4,2,1,0,1.8518518518518517E-1,27,3,0,9.878309999999999E1,41,0,0,0,0,0,0,5,8,1,0,43,0,0,0,0,2.1051E2,1.104618425141767E1,9.698685703795902E-1,1.0389362011281982E1,1.9753086419753085E1,7.552647233789411,2.18E2,2.42E2
OMU,3.3820899426937103E2,8.751000000000003E-1,22,10,4,4,2,1,0,2.1739130434782608E-1,23,2,0,8.66843E1,37,0,0,0,0,0,0,2,9,1,0,38,0,0,0,0,1.7578000000000003E2,1.1879172764429933E1,9.766872723543457E-1,1.1162718917995816E1,1.8340264650283554E1,7.26643598615917,1.93E2,2.12E2
P,3.872889940738678E2,2.617099999999999,26,12,4,4,2,1,0,1.3793103448275862E-1,29,4,0,1.0448950000000002E2,44,0,0,0,0,0,0,5,7,1,0,47,0,0,0,0,1.7643000000000004E2,1.360863352451024E1,9.739621622345516E-1,1.2972445801475583E1,1.9322235434007133E1,7.43801652892562,2.46E2,2.82E2
P2T,3.802899934053421E2,2.9734,28,10,4,4,2,1,0,2.692307692307692E-1,26,2,0,1.0760629999999998E2,46,0,0,0,0,0,0,2,9,1,0,47,0,0,0,0,1.7578000000000003E2,1.0473811972671736E1,9.632444764550023E-1,9.873472133697739,2.1301775147928993E1,8.79224376731302,2.41E2,2.56E2
