cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
6OG,3.61250994682312E2,2.5768999999999997,25,12,4,3,2,1,0,1.9230769230769232E-1,26,3,0,9.665170000000002E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,1.9054E2,1.4211697755796228E1,9.699748635126192E-1,1.3651614480328579E1,1.8781065088757398E1,7.3188691650230115,2.12E2,2.31E2
6OO,3.532929964065552E2,2.8968999999999996,26,11,4,3,1,1,0,2.1739130434782608E-1,23,2,0,9.599290000000002E1,38,0,0,0,0,0,0,3,7,1,1,39,0,0,0,0,1.9473999999999998E2,9.762461174871639,9.751698746179824E-1,9.011036465514309,1.8340264650283554E1,7.26643598615917,1.96E2,2.12E2
70U,4.1231299459934235E2,1.4274999999999998,26,12,5,5,2,2,0,2.5925925925925924E-1,27,2,0,1.0483510000000003E2,43,0,0,0,0,0,0,2,10,1,1,44,0,0,0,0,2.281E2,1.3387836386797293E1,9.673107564148028E-1,1.2840264152977447E1,2.2290809327846365E1,9.0,2.23E2,2.45E2
73W,3.5533399844169617E2,1.9547999999999996,24,11,5,4,0,2,0,1.8181818181818182E-1,22,2,0,9.639120000000001E1,35,0,0,0,0,0,0,3,6,1,2,36,0,0,0,0,2.2076E2,9.554001237983172,9.714388450028898E-1,8.834897263095085,1.7355371900826448E1,6.629935720844812,1.8E2,2.04E2
75B,4.5320199239254E2,-1.5600000000000835E-2,23,10,5,5,2,2,0,1.7857142857142858E-1,28,2,0,9.902830000000003E1,41,0,0,0,0,0,0,2,9,1,0,43,0,0,0,0,1.8678E2,1.2405083429379582E1,9.999724682550216E-1,1.140542497237627E1,2.0727040816326532E1,8.16326530612245,2.17E2,2.52E2
77Y,5.204349905252457E2,4.824099999999999,33,11,6,6,2,1,0,2.564102564102564E-1,39,3,0,1.5503109999999995E2,61,0,0,0,0,0,0,4,9,1,0,64,0,0,0,0,2.1143999999999997E2,1.2634553771460068E1,9.598895286341852E-1,1.2162508178870974E1,2.8994082840236686E1,1.2901785714285714E1,3.23E2,3.64E2
7DA,3.3023699510097504E2,2.6319999999999992,22,10,4,3,2,1,0,1.6666666666666666E-1,24,3,0,9.130770000000003E1,37,0,0,0,0,0,0,4,6,1,0,39,0,0,0,0,1.6842000000000002E2,1.254588460773325E1,9.750406427344981E-1,1.1867037596041493E1,1.684375E1,6.481481481481482,1.97E2,2.23E2
7GU,3.462359946966171E2,2.0164999999999993,22,10,5,4,2,1,0,1.6E-1,25,3,0,9.403909999999999E1,38,0,0,0,0,0,0,4,7,1,0,40,0,0,0,0,1.8839000000000004E2,1.226188467841276E1,9.734437908702661E-1,1.159639723773937E1,1.78112E1,6.718836565096953,2.03E2,2.32E2
7MD,5.174159920215607E2,6.333100000000002,39,15,6,4,1,2,0,3.5135135135135137E-1,37,3,0,1.442538E2,61,0,0,0,0,0,0,8,9,1,0,63,0,0,0,0,2.8915999999999997E2,1.4968266251936965E1,9.70307769365706E-1,1.4426307739163812E1,2.9554419284149013E1,1.3181203275186899E1,3.23E2,3.54E2
7MG,3.79265994310379E2,1.6922999999999992,28,12,6,5,2,2,0,1.4814814814814814E-1,27,3,0,9.704529999999998E1,43,0,0,0,0,0,0,5,8,1,0,45,0,0,0,0,2.1017000000000002E2,1.216934789834547E1,9.764562361124566E-1,1.146276837433598E1,1.9753086419753085E1,7.197278911564626,2.3E2,2.58E2
